feature,gain
EXT_SOURCE_3,97342.27660117831
EXT_SOURCE_2,92471.34593388012
EXT_SOURCE_1,32241.007104873657
PAYMENT_RATE,22971.266645840235
DAYS_EMPLOYED,15091.244822978973
INSTAL_DPD_MEAN,9878.046439238957
AMT_ANNUITY,9297.859373637608
DAYS_BIRTH,7872.818775211062
CODE_GENDER,7221.229107788631
INSTAL_AMT_PAYMENT_SUM,6933.056491443089
APPROVED_CNT_PAYMENT_MEAN,6884.1446677957265
CC_CNT_DRAWINGS_ATM_CURRENT_MEAN,6648.490874699184
ACTIVE_DAYS_CREDIT_MAX,6645.00316967283
PREV_CNT_PAYMENT_MEAN,6357.405921322958
DAYS_EMPLOYED_PERC,6270.711703981672
AMT_GOODS_PRICE,5997.594890049526
OWN_CAR_AGE,5947.834741285869
BURO_DAYS_CREDIT_MEAN,5778.502044813974
AGE,5702.2313077790395
AMT_CREDIT,5643.755243165152
ANNUITY_INCOME_PERC,5479.056416409357
NAME_EDUCATION_TYPE_Higher education,5444.204156807491
DAYS_ID_PUBLISH,5359.784628016608
INSTAL_PAYMENT_PERC_MEAN,5129.020406280245
PREV_NAME_CONTRACT_STATUS_Refused_MEAN,4766.156669207981
POS_MONTHS_BALANCE_SIZE,4703.326218026025
BURO_AMT_CREDIT_MAX_OVERDUE_MEAN,4208.479535511562
INSTAL_DAYS_ENTRY_PAYMENT_MAX,4205.554774080004
BURO_DAYS_CREDIT_MAX,4171.582967213222
DAYS_REGISTRATION,4096.991215365274
ACTIVE_DAYS_CREDIT_ENDDATE_MIN,4009.536574670247
POS_SK_DPD_DEF_MEAN,3979.3458958353317
BURO_AMT_CREDIT_SUM_DEBT_MEAN,3940.2337505476817
INSTAL_DBD_SUM,3916.3848066329956
INCOME_CREDIT_PERC,3718.0832106045314
ACTIVE_DAYS_CREDIT_ENDDATE_MEAN,3708.145220211574
INSTAL_PAYMENT_DIFF_MEAN,3686.2261515344894
PREV_APP_CREDIT_PERC_MEAN,3676.88389141219
APPROVED_AMT_DOWN_PAYMENT_MAX,3602.7036714553833
INSTAL_DAYS_ENTRY_PAYMENT_SUM,3528.3534188951767
CLOSED_DAYS_CREDIT_MAX,3472.9449605601176
INSTAL_DAYS_ENTRY_PAYMENT_MEAN,3471.087272848402
DAYS_LAST_PHONE_CHANGE,3464.6855494635447
ACTIVE_AMT_CREDIT_MAX_OVERDUE_MEAN,3255.5886876242503
ACTIVE_DAYS_CREDIT_ENDDATE_MAX,3222.138285091945
INSTAL_AMT_PAYMENT_MEAN,3130.109112875802
REFUSED_DAYS_DECISION_MAX,3115.901887859617
INSTAL_AMT_PAYMENT_MIN,3097.7734550067357
CLOSED_DAYS_CREDIT_VAR,3039.614704472678
CLOSED_DAYS_CREDIT_ENDDATE_MAX,3025.57442007746
BURO_DAYS_CREDIT_ENDDATE_MAX,2995.5864307539805
INSTAL_DBD_MAX,2988.5237899507797
BURO_CREDIT_TYPE_Microloan_MEAN,2985.171075275966
CC_CNT_DRAWINGS_ATM_CURRENT_VAR,2983.3659726211004
PREV_APP_CREDIT_PERC_MIN,2981.662949902671
INSTAL_AMT_INSTALMENT_MAX,2922.383421284812
CC_CNT_DRAWINGS_CURRENT_VAR,2854.4501814161026
INSTAL_DBD_MEAN,2819.1544964654104
APPROVED_DAYS_DECISION_MAX,2819.0216198648727
BURO_DAYS_CREDIT_ENDDATE_MEAN,2805.8854660987854
POS_MONTHS_BALANCE_MEAN,2791.382203919547
APPROVED_AMT_ANNUITY_MEAN,2789.7238725253515
BURO_CREDIT_ACTIVE_Closed_MEAN,2780.996162244252
BURO_AMT_CREDIT_SUM_MEAN,2754.1160025937215
INSTAL_AMT_INSTALMENT_SUM,2749.2438750948227
ACTIVE_AMT_CREDIT_SUM_SUM,2734.972508771079
ACTIVE_DAYS_CREDIT_UPDATE_MEAN,2711.5913671766007
CLOSED_AMT_CREDIT_SUM_SUM,2710.60775579725
BURO_AMT_CREDIT_SUM_SUM,2692.5254528181895
CLOSED_AMT_CREDIT_SUM_MEAN,2686.499056475503
CLOSED_AMT_CREDIT_SUM_MAX,2653.1281208992004
REGION_POPULATION_RELATIVE,2636.7211508069718
FLAG_DOCUMENT_3,2619.8573551518575
PREV_NAME_YIELD_GROUP_high_MEAN,2562.4464163099015
BURO_DAYS_CREDIT_VAR,2558.1410929134913
POS_NAME_CONTRACT_STATUS_Active_MEAN,2530.847129072462
PREV_DAYS_DECISION_MAX,2528.064074243818
APPROVED_CNT_PAYMENT_SUM,2444.874507052558
ACTIVE_DAYS_CREDIT_MEAN,2402.386338165828
PREV_AMT_DOWN_PAYMENT_MAX,2393.510910442897
CC_CNT_DRAWINGS_CURRENT_MEAN,2393.246256623949
PREV_DAYS_DECISION_MIN,2391.4799044132233
ACTIVE_AMT_CREDIT_SUM_DEBT_MEAN,2381.1741415773117
BURO_AMT_CREDIT_SUM_MAX,2361.0797770363943
BURO_DAYS_CREDIT_UPDATE_MEAN,2319.29685320173
ACTIVE_DAYS_CREDIT_VAR,2288.2897116116114
PREV_DAYS_DECISION_MEAN,2282.3891853604996
INCOME_PER_PERSON,2280.1674479757035
NAME_EDUCATION_TYPE_Secondary / secondary special,2278.437208516257
PREV_APP_CREDIT_PERC_VAR,2247.830758537565
REGION_RATING_CLIENT_W_CITY,2233.855288028717
PREV_NAME_CONTRACT_STATUS_Approved_MEAN,2202.75902727672
ACTIVE_AMT_CREDIT_SUM_MEAN,2149.621077299118
INSTAL_PAYMENT_PERC_SUM,2148.1341536045074
PREV_HOUR_APPR_PROCESS_START_MEAN,2146.648459468569
INSTAL_AMT_PAYMENT_MAX,2138.286584854126
INSTAL_PAYMENT_DIFF_MAX,2128.704182897295
PREV_AMT_ANNUITY_MEAN,2093.1492027214595
APPROVED_APP_CREDIT_PERC_VAR,2074.388449055808
REFUSED_APP_CREDIT_PERC_MIN,2045.9000149794988
CLOSED_DAYS_CREDIT_UPDATE_MEAN,2013.8983860697065
PREV_AMT_ANNUITY_MIN,2002.9297789164953
POS_MONTHS_BALANCE_MAX,2000.8727274622236
ACTIVE_AMT_CREDIT_SUM_MAX,1991.4065525872368
NAME_FAMILY_STATUS_Married,1967.1189398424965
APPROVED_DAYS_DECISION_MEAN,1954.6769264766149
PREV_APP_CREDIT_PERC_MAX,1948.4773001670837
APPROVED_AMT_ANNUITY_MAX,1893.351806300027
POS_NAME_CONTRACT_STATUS_Completed_MEAN,1879.0718007087708
ACTIVE_AMT_CREDIT_SUM_DEBT_SUM,1847.0709493500847
APPROVED_APP_CREDIT_PERC_MAX,1841.2336671692985
TOTALAREA_MODE,1820.2249913896833
NAME_CONTRACT_TYPE,1819.3740758214678
ACTIVE_DAYS_CREDIT_MIN,1810.5027826513563
APPROVED_APP_CREDIT_PERC_MEAN,1770.3746162142072
APPROVED_AMT_ANNUITY_MIN,1764.1547859736852
AMT_INCOME_TOTAL,1755.1155583177294
APPROVED_DAYS_DECISION_MIN,1736.0955735274724
CLOSED_DAYS_CREDIT_ENDDATE_MEAN,1734.9602870941162
REFUSED_DAYS_DECISION_MEAN,1724.7541044098991
BURO_DAYS_CREDIT_MIN,1723.1826537336622
PREV_NAME_YIELD_GROUP_low_action_MEAN,1714.5225348131996
DEF_30_CNT_SOCIAL_CIRCLE,1698.2411930561066
BURO_AMT_CREDIT_SUM_DEBT_SUM,1690.9190968785967
ACTIVE_AMT_CREDIT_SUM_LIMIT_MEAN,1675.099112544741
INSTAL_AMT_INSTALMENT_MEAN,1667.3474129268102
BURO_DAYS_CREDIT_ENDDATE_MIN,1657.8496221133641
CLOSED_AMT_CREDIT_MAX_OVERDUE_MEAN,1637.6783254487175
APPROVED_AMT_CREDIT_MIN,1607.4501324381147
ACTIVE_AMT_CREDIT_SUM_DEBT_MAX,1596.8940130642482
CLOSED_DAYS_CREDIT_MEAN,1593.7265889985222
CLOSED_DAYS_CREDIT_ENDDATE_MIN,1590.8102088315147
APPROVED_APP_CREDIT_PERC_MIN,1589.4163706643242
APPROVED_HOUR_APPR_PROCESS_START_MEAN,1576.7675670215062
INSTAL_PAYMENT_DIFF_SUM,1531.704816205161
APPROVED_AMT_CREDIT_MAX,1504.805555684226
PREV_NAME_TYPE_SUITE_nan_MEAN,1503.9858045578003
POS_SK_DPD_DEF_MAX,1500.553177016122
CLOSED_DAYS_CREDIT_MIN,1492.6268060888563
BURO_AMT_CREDIT_SUM_DEBT_MAX,1486.2380198069982
PREV_CNT_PAYMENT_SUM,1481.0790209089007
PREV_NAME_PRODUCT_TYPE_walk-in_MEAN,1445.4533529962812
APPROVED_AMT_GOODS_PRICE_MIN,1438.6832064219884
PREV_AMT_DOWN_PAYMENT_MEAN,1436.222024849483
BURO_AMT_CREDIT_SUM_OVERDUE_MEAN,1432.015365736825
PREV_AMT_GOODS_PRICE_MIN,1427.4594497340065
INSTAL_DPD_MAX,1415.1964179107122
BURO_CREDIT_ACTIVE_Active_MEAN,1408.137238570622
PREV_NAME_TYPE_SUITE_Unaccompanied_MEAN,1371.6637136595589
BURO_STATUS_0_MEAN_MEAN,1364.7382521288735
PREV_AMT_ANNUITY_MAX,1359.217829329627
PREV_NAME_YIELD_GROUP_low_normal_MEAN,1347.3377327919006
BURO_CREDIT_TYPE_Mortgage_MEAN,1311.3476786272865
PREV_AMT_CREDIT_MEAN,1292.2516758101326
PREV_NAME_CLIENT_TYPE_New_MEAN,1264.3863926955632
YEARS_BEGINEXPLUATATION_AVG,1257.3399902752467
APPROVED_HOUR_APPR_PROCESS_START_MAX,1255.2320597171783
INSTAL_PAYMENT_PERC_VAR,1234.6460659163338
BURO_CREDIT_TYPE_Credit card_MEAN,1230.8380310194832
BURO_STATUS_C_MEAN_MEAN,1219.4566251891
PREV_AMT_CREDIT_MAX,1210.8025124754224
PREV_WEEKDAY_APPR_PROCESS_START_THURSDAY_MEAN,1200.7185515676226
HOUR_APPR_PROCESS_START,1191.651083435331
INSTAL_DPD_SUM,1187.1159031731743
PREV_RATE_DOWN_PAYMENT_MEAN,1183.3361626352582
NAME_INCOME_TYPE_Working,1173.9074899128505
PREV_RATE_DOWN_PAYMENT_MAX,1173.2013915606908
PREV_AMT_APPLICATION_MEAN,1165.175257069724
APPROVED_AMT_APPLICATION_MAX,1162.8633501189095
APARTMENTS_MODE,1149.951486791883
PREV_WEEKDAY_APPR_PROCESS_START_MONDAY_MEAN,1149.078525543213
APPROVED_AMT_DOWN_PAYMENT_MEAN,1146.5312458447047
PREV_NAME_SELLER_INDUSTRY_Connectivity_MEAN,1146.4324490683418
PREV_AMT_GOODS_PRICE_MEAN,1144.451225893838
APPROVED_RATE_DOWN_PAYMENT_MAX,1131.8207295962743
LANDAREA_AVG,1130.9186139787946
ACTIVE_MONTHS_BALANCE_SIZE_MEAN,1126.1616291999817
PREV_PRODUCT_COMBINATION_Cash X-Sell: low_MEAN,1123.349184002195
BASEMENTAREA_AVG,1121.7790634291512
PREV_PRODUCT_COMBINATION_Cash X-Sell: high_MEAN,1120.4112708909172
BURO_CREDIT_TYPE_Consumer credit_MEAN,1114.459549495152
APPROVED_AMT_APPLICATION_MIN,1110.4080584389824
BURO_STATUS_1_MEAN_MEAN,1105.065687247685
INSTAL_PAYMENT_DIFF_VAR,1104.5242580005101
LIVINGAREA_AVG,1102.1918306350708
BURO_AMT_CREDIT_SUM_LIMIT_MEAN,1098.1483357974462
CC_AMT_DRAWINGS_ATM_CURRENT_MEAN,1083.8230257715497
APPROVED_AMT_CREDIT_MEAN,1081.5591877188
APARTMENTS_AVG,1078.9904715674263
PREV_CODE_REJECT_REASON_XAP_MEAN,1061.2626254217964
INSTAL_COUNT,1053.360624211175
POS_NAME_CONTRACT_STATUS_Signed_MEAN,1049.2127922262464
REFUSED_DAYS_DECISION_MIN,1049.113084248134
REFUSED_AMT_CREDIT_MIN,1047.0899799210686
CC_AMT_BALANCE_MEAN,1041.5787617138453
YEARS_BEGINEXPLUATATION_MODE,1040.4437509264264
PREV_HOUR_APPR_PROCESS_START_MAX,1035.3932208333697
PREV_WEEKDAY_APPR_PROCESS_START_TUESDAY_MEAN,1026.0338345936366
CLOSED_MONTHS_BALANCE_SIZE_MEAN,1021.2863138743809
REFUSED_AMT_ANNUITY_MIN,1016.5817723274231
APPROVED_RATE_DOWN_PAYMENT_MEAN,1016.4219403266907
PREV_NAME_YIELD_GROUP_middle_MEAN,1006.5704951967512
PREV_NAME_TYPE_SUITE_Family_MEAN,994.6770445278713
BURO_MONTHS_BALANCE_SIZE_MEAN,986.3193583488464
CC_AMT_PAYMENT_CURRENT_MEAN,984.1493169920785
PREV_PRODUCT_COMBINATION_Cash Street: high_MEAN,965.428072656904
POS_COUNT,963.5795930453709
APPROVED_AMT_GOODS_PRICE_MEAN,962.6788311004639
ACTIVE_AMT_CREDIT_SUM_OVERDUE_MEAN,959.2999198436737
APPROVED_AMT_APPLICATION_MEAN,956.7241803577969
PREV_WEEKDAY_APPR_PROCESS_START_FRIDAY_MEAN,954.8461483887264
PREV_AMT_CREDIT_MIN,953.3752944128854
PREV_CHANNEL_TYPE_Country-wide_MEAN,943.1746454920087
REFUSED_APP_CREDIT_PERC_MEAN,940.0481278896332
PREV_CODE_REJECT_REASON_HC_MEAN,920.0198848588126
PREV_WEEKDAY_APPR_PROCESS_START_WEDNESDAY_MEAN,908.113395690918
LIVINGAREA_MODE,907.1914730072021
CC_AMT_PAYMENT_CURRENT_MAX,899.8338367598398
PREV_CHANNEL_TYPE_AP+ (Cash loan)_MEAN,893.4259229387555
REFUSED_APP_CREDIT_PERC_VAR,886.5530992235456
CC_CNT_DRAWINGS_CURRENT_MAX,883.3159868376596
PREV_PRODUCT_COMBINATION_POS household with interest_MEAN,880.1780106680734
PREV_NAME_YIELD_GROUP_XNA_MEAN,880.088256086622
REFUSED_HOUR_APPR_PROCESS_START_MEAN,879.188502073288
BURO_STATUS_X_MEAN_MEAN,873.3038914544242
PREV_AMT_APPLICATION_MAX,867.5633215904236
LANDAREA_MODE,860.5462447575161
PREV_AMT_APPLICATION_MIN,844.2788723877499
PREV_NAME_SELLER_INDUSTRY_Consumer electronics_MEAN,835.7056878634861
OBS_30_CNT_SOCIAL_CIRCLE,835.0472384180341
YEARS_BEGINEXPLUATATION_MEDI,834.8596881798336
PREV_RATE_DOWN_PAYMENT_MIN,832.676438331604
PREV_CHANNEL_TYPE_Stone_MEAN,831.9674819537571
PREV_WEEKDAY_APPR_PROCESS_START_SATURDAY_MEAN,828.2727410112109
DEF_60_CNT_SOCIAL_CIRCLE,815.2040627343314
LIVINGAPARTMENTS_MODE,814.943192754473
REFUSED_AMT_ANNUITY_MAX,814.7941718101501
PREV_PRODUCT_COMBINATION_POS industry with interest_MEAN,813.4444393430438
PREV_CHANNEL_TYPE_Credit and cash offices_MEAN,806.8699320384434
COMMONAREA_AVG,795.9567666053772
LIVINGAPARTMENTS_AVG,790.461003780365
INSTAL_NUM_INSTALMENT_VERSION_NUNIQUE,782.8563744000027
YEARS_BUILD_AVG,779.6234483037676
POS_SK_DPD_MEAN,776.1234850202288
ENTRANCES_AVG,772.148831639971
PREV_PRODUCT_COMBINATION_Cash X-Sell: middle_MEAN,767.8115997314453
CC_AMT_CREDIT_LIMIT_ACTUAL_SUM,762.4575704847064
FLOORSMAX_AVG,760.0821798188346
REG_CITY_NOT_LIVE_CITY,760.0782745906284
APPROVED_HOUR_APPR_PROCESS_START_MIN,757.3006746428354
CC_AMT_CREDIT_LIMIT_ACTUAL_MEAN,757.1331388950348
PREV_NAME_PAYMENT_TYPE_XNA_MEAN,755.6788856983185
CC_AMT_CREDIT_LIMIT_ACTUAL_VAR,754.8416964667184
PREV_NAME_GOODS_CATEGORY_Mobile_MEAN,745.5429468836103
CLOSED_AMT_ANNUITY_MAX,728.6735142299107
CC_AMT_PAYMENT_CURRENT_VAR,723.1636959484646
CC_AMT_BALANCE_MIN,721.8416271209717
PREV_NAME_PRODUCT_TYPE_x-sell_MEAN,718.0083046640668
BASEMENTAREA_MODE,716.0919170379639
REFUSED_APP_CREDIT_PERC_MAX,712.6022848401751
ACTIVE_AMT_ANNUITY_MAX,711.4333745070866
PREV_HOUR_APPR_PROCESS_START_MIN,710.7344835826328
CC_AMT_DRAWINGS_ATM_CURRENT_VAR,709.4612158366612
PREV_NAME_PRODUCT_TYPE_XNA_MEAN,701.5723115376064
REFUSED_AMT_ANNUITY_MEAN,700.4709374564035
ACTIVE_MONTHS_BALANCE_MIN_MIN,699.2439894676208
PREV_NAME_CLIENT_TYPE_Refreshed_MEAN,698.6641738074167
ACTIVE_AMT_CREDIT_SUM_LIMIT_SUM,697.7884251390185
CC_AMT_RECEIVABLE_PRINCIPAL_MEAN,695.7016414233616
REFUSED_CNT_PAYMENT_SUM,693.9645712716239
PREV_NAME_PAYMENT_TYPE_Cash through the bank_MEAN,692.538856778826
NONLIVINGAREA_AVG,690.0554206711905
APPROVED_AMT_GOODS_PRICE_MAX,689.8349076679775
ACTIVE_AMT_ANNUITY_MEAN,689.4624191011701
BURO_MONTHS_BALANCE_SIZE_SUM,685.2724912507193
REFUSED_AMT_CREDIT_MAX,681.3121089254107
PREV_NAME_GOODS_CATEGORY_Consumer Electronics_MEAN,678.6424347332546
APPROVED_AMT_DOWN_PAYMENT_MIN,678.5239735330854
PREV_WEEKDAY_APPR_PROCESS_START_SUNDAY_MEAN,677.9669117927551
REFUSED_HOUR_APPR_PROCESS_START_MIN,671.5050335611616
POS_SK_DPD_MAX,667.5344608851841
PREV_AMT_DOWN_PAYMENT_MIN,667.5057819570814
AMT_REQ_CREDIT_BUREAU_QRT,666.8012921469552
CC_AMT_DRAWINGS_CURRENT_MEAN,666.5323655945914
LIVINGAREA_MEDI,663.2562710217068
PREV_NAME_CLIENT_TYPE_Repeater_MEAN,660.4559242384775
