EXT_SOURCE_3,EXT_SOURCE_2,EXT_SOURCE_1,PAYMENT_RATE,DAYS_EMPLOYED,AMT_ANNUITY,INSTAL_DPD_MEAN,CODE_GENDER,APPROVED_CNT_PAYMENT_MEAN,ACTIVE_DAYS_CREDIT_MAX,INSTAL_AMT_PAYMENT_SUM,CC_CNT_DRAWINGS_ATM_CURRENT_MEAN,OWN_CAR_AGE,ANNUITY_INCOME_PERC,DAYS_ID_PUBLISH,NAME_EDUCATION_TYPE_Higher education,INSTAL_PAYMENT_PERC_MEAN,POS_MONTHS_BALANCE_SIZE,INSTAL_DAYS_ENTRY_PAYMENT_MAX,PREV_NAME_CONTRACT_STATUS_Refused_MEAN,BURO_DAYS_CREDIT_MEAN,BURO_AMT_CREDIT_MAX_OVERDUE_MEAN,DAYS_REGISTRATION,BURO_AMT_CREDIT_SUM_DEBT_MEAN,ACTIVE_DAYS_CREDIT_ENDDATE_MIN,APPROVED_AMT_DOWN_PAYMENT_MAX,POS_SK_DPD_DEF_MEAN,INCOME_CREDIT_PERC,DAYS_LAST_PHONE_CHANGE,PREV_APP_CREDIT_PERC_MEAN,INSTAL_PAYMENT_DIFF_MEAN,INSTAL_DBD_MAX,INSTAL_AMT_PAYMENT_MEAN,INSTAL_AMT_PAYMENT_MIN,CLOSED_DAYS_CREDIT_ENDDATE_MAX,INSTAL_DBD_MEAN,ACTIVE_AMT_CREDIT_MAX_OVERDUE_MEAN,CLOSED_DAYS_CREDIT_VAR,BURO_CREDIT_TYPE_Microloan_MEAN,BURO_AMT_CREDIT_SUM_MEAN,APPROVED_AMT_ANNUITY_MEAN,PREV_NAME_YIELD_GROUP_high_MEAN,ACTIVE_DAYS_CREDIT_UPDATE_MEAN,REGION_POPULATION_RELATIVE,CC_CNT_DRAWINGS_CURRENT_VAR,POS_NAME_CONTRACT_STATUS_Active_MEAN,BURO_CREDIT_ACTIVE_Closed_MEAN,FLAG_DOCUMENT_3,REFUSED_DAYS_DECISION_MAX,ACTIVE_DAYS_CREDIT_VAR,PREV_APP_CREDIT_PERC_VAR,PREV_HOUR_APPR_PROCESS_START_MEAN,INSTAL_PAYMENT_DIFF_MAX,REGION_RATING_CLIENT_W_CITY,REFUSED_APP_CREDIT_PERC_MIN,NAME_FAMILY_STATUS_Married,TOTALAREA_MODE,PREV_NAME_YIELD_GROUP_low_action_MEAN,DEF_30_CNT_SOCIAL_CIRCLE,NAME_CONTRACT_TYPE,ACTIVE_AMT_CREDIT_SUM_LIMIT_MEAN,PREV_NAME_PRODUCT_TYPE_walk-in_MEAN,PREV_NAME_TYPE_SUITE_nan_MEAN,PREV_NAME_TYPE_SUITE_Unaccompanied_MEAN,YEARS_BEGINEXPLUATATION_AVG,BURO_STATUS_0_MEAN_MEAN,PREV_NAME_YIELD_GROUP_low_normal_MEAN,BURO_AMT_CREDIT_SUM_OVERDUE_MEAN,HOUR_APPR_PROCESS_START,PREV_NAME_CLIENT_TYPE_New_MEAN,BURO_CREDIT_TYPE_Mortgage_MEAN,BURO_CREDIT_TYPE_Credit card_MEAN,PREV_WEEKDAY_APPR_PROCESS_START_THURSDAY_MEAN,NAME_INCOME_TYPE_Working,PREV_NAME_YIELD_GROUP_middle_MEAN,PREV_NAME_SELLER_INDUSTRY_Connectivity_MEAN,PREV_WEEKDAY_APPR_PROCESS_START_MONDAY_MEAN,PREV_PRODUCT_COMBINATION_Cash X-Sell: high_MEAN,BURO_STATUS_1_MEAN_MEAN,LANDAREA_AVG,POS_NAME_CONTRACT_STATUS_Signed_MEAN,PREV_PRODUCT_COMBINATION_Cash X-Sell: low_MEAN,PREV_WEEKDAY_APPR_PROCESS_START_WEDNESDAY_MEAN
0.5108563,0.544933,0.044202287,0.07900698,-2602.0,15696.0,0.6166667,1,18.0,-416.93738,762885.56,0.5662409,12.061121,0.218,-17,0,1.1054996,60.0,-48.0,0.3,-1083.0499,5242.4604,-372.0,160390.22,1011.9233,3424.5,0.3,0.3624173,-1440.0,0.88655674,-1155.1844,54.0,12714.76,3.915,774.7538,10.783334,2529.067,431962.28,0.0042077564,378081.47,10916.406,0.3,-132.19705,0.025164,15.13074,0.95,0.58311266,1,-272.0,307208.47,0.015745908,13.3,16460.1,2,1.0,1,0.5093,0.0,0.0,0,12823.701,0.1,0.4,0.2,0.9866,0.4571111,0.0,49.54514,15,0.1,0.014233142,0.23965093,0.1,0,0.2,0.2,0.2,0.0,0.014199425,0.2754,0.0,0.0,0.0
0.69255906,0.5873646,0.5430373,0.039654545,-810.0,9814.5,1.0654914,1,13.592881,-293.0,678578.9,0.5662409,12.061121,0.044329267,50,1,1.3829919,29.516104,-327.7884,0.1108971,-1397.4615,1157.1188,-532.0,722091.75,-387.0,11083.136,0.21486607,0.89454544,-3.0,0.96875226,-363.87296,37.84903,18754.361,5198.1606,31118.0,12.26564,0.0,494547.44,0.0,664636.44,13925.762,0.23777755,-439.4,0.015221,15.13074,0.90468615,0.61538464,1,-728.6427,35851.5,0.07275849,12.661583,6724.2266,2,0.8679975,1,0.2222,0.068525076,0.0,0,0.0,0.080552734,0.47940668,0.2845134,0.9831,0.4571111,0.21002875,0.0,13,0.35041127,0.07692308,0.23076923,0.14514303,0,0.25491133,0.2090302,0.14553413,0.027647203,0.014199425,0.06633385,0.010587371,0.053136926,0.14762497
0.5108563,0.64363486,0.5021294,0.10526043,-1273.0,54855.0,2.25,0,10.0,-416.93738,46223.504,0.5662409,12.061121,0.152375,49,1,0.8333333,11.0,-752.0,0.0,-1083.0499,5242.4604,-4059.0,160390.22,1011.9233,3780.0,0.0,0.6907986,-1059.0,1.1105263,771.78,33.0,3851.9587,0.18,774.7538,6.1666665,2529.067,431962.28,0.0042077564,378081.47,4630.68,0.5,-132.19705,0.04622,15.13074,0.90909094,0.58311266,0,-728.6427,307208.47,0.07275849,18.5,4630.5,1,0.8679975,0,0.1025479,0.0,0.0,0,12823.701,0.0,1.0,0.0,0.9777348,0.4571111,0.0,49.54514,14,0.5,0.014233142,0.23965093,0.0,0,0.0,0.5,0.0,0.0,0.014199425,0.06633385,0.0,0.0,0.0
0.36061257,0.7461676,0.5021294,0.048266646,-5153.0,39816.0,0.14705883,0,36.0,-235.0,1455854.1,0.5662409,6.0,0.1106,62,0,0.9705882,32.0,-4.0,0.5,-1127.4286,0.0,-8905.0,497359.28,345.0,11083.136,0.0,0.43640727,-3638.0,0.8824512,1336.9196,34.0,42819.24,1116.18,-165.0,5.352941,0.0,163810.92,0.0,1060445.6,45455.266,0.0,-13.666667,0.04622,15.13074,1.0,0.5714286,1,-639.0,237449.33,0.00279909,17.5,44339.086,1,0.8450407,1,0.1025479,0.5,0.0,0,0.0,0.5,0.5,0.5,0.9777348,0.6665389,0.0,0.0,18,0.0,0.0,0.14285715,0.5,0,0.5,0.0,0.0,0.0,0.03142857,0.06633385,0.0,0.0,0.5
0.48665315,0.64846027,0.5021294,0.036122397,-7076.0,22689.0,0.16666667,1,6.0,-695.0,143114.05,0.5662409,12.061121,0.16806667,14,0,1.0,13.0,-1465.0,0.33333334,-1086.1666,0.0,-7108.0,226285.2,704.0,18000.0,0.0,0.21492897,-1827.0,0.35543913,0.0,7.0,11926.17,11795.985,-20.0,3.3333333,2529.067,844018.94,0.0,331223.25,11594.003,0.0,-25.0,0.018801,15.13074,0.9230769,0.6666667,1,-773.0,0.0,0.3790109,8.666667,0.0,2,0.0,1,0.236,0.0,0.0,0,12823.701,0.0,0.6666667,0.33333334,0.9786,0.4571111,0.0,0.0,7,0.33333334,0.0,0.16666667,0.33333334,1,0.33333334,0.0,0.0,0.0,0.014199425,0.121,0.0,0.0,0.0
0.3893388,0.47933787,0.24555756,0.08058529,-3720.0,25204.5,29.2,1,10.0,-416.93738,129060.05,0.5662409,12.061121,0.22404,-8,0,0.7,47.0,-106.0,0.0,-239.0,5242.4604,-4263.0,0.0,1011.9233,1800.0,0.0,0.35969153,-2464.0,0.9750957,1801.3185,34.0,4302.0015,7.245,-55.0,7.6,2529.067,431962.28,0.0,40410.0,5670.3823,0.0,-132.19705,0.030755,15.13074,0.9574468,1.0,0,-728.6427,307208.47,0.00996963,15.0,8101.17,2,0.8679975,1,0.1349,0.0,0.0,0,12823.701,0.0,0.5,0.0,0.9935,0.75,1.0,0.0,10,0.5,0.0,0.0,0.0,1,0.0,0.5,0.5,0.0,0.0,0.0747,0.0,0.0,0.0
0.3539876,0.68403345,0.5021294,0.054236226,-1011.0,11695.5,0.0,1,3.0,-82.0,45868.637,0.5662409,10.0,0.10396,-73,0,1.0,7.0,-117.0,0.0,-82.0,0.0,-2120.0,73273.5,103.0,0.0,0.0,0.5217028,-1787.0,0.971978,0.0,16.0,7644.7725,7643.835,774.7538,12.333333,0.0,431962.28,0.0,109037.7,4947.48,0.0,-17.0,0.030755,0.0,0.85714287,0.0,1,-728.6427,307208.47,0.0015704625,20.0,0.0,2,0.8679975,1,0.1025479,0.0,0.0,0,0.0,0.5,0.0,0.0,0.9777348,0.4571111,0.0,0.0,15,1.0,0.0,0.0,1.0,1,0.5,0.0,0.0,0.0,0.014199425,0.06633385,0.0,0.0,0.0
0.00052726525,0.049435828,0.5021294,0.07738853,-6073.0,38272.5,0.0,1,8.0,-182.0,118681.516,0.5662409,12.061121,0.2835,-99,1,1.0,7.0,-251.0,0.0,-1286.0,0.0,-4963.0,16767.0,183.0,4500.0,0.0,0.27297544,-182.0,1.0233885,0.0,14.0,19780.252,19777.365,-821.0,10.5,0.0,1587762.0,0.0,113020.5,14563.755,0.5,-27.0,0.031329,15.13074,0.85714287,0.6666667,1,-728.6427,307208.47,0.0010940467,11.5,0.0,2,0.8679975,0,0.0688,0.0,0.0,0,0.0,0.0,1.0,0.0,0.9881,0.3978836,0.5,0.0,8,0.5,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.058035713,0.0479,0.0,0.0,1.0
0.7062051,0.26531175,0.5021294,0.03977118,-8823.0,45333.0,0.07692308,1,7.3333335,-416.93738,119231.1,0.5662409,12.061121,0.40296,-65,0,1.0,16.0,-48.0,0.0,-1751.0,0.0,-11802.0,0.0,1011.9233,22455.0,0.0,0.09869759,-92.0,1.6171193,0.0,55.0,9171.623,3969.315,-1299.0,17.615385,2529.067,672159.0,0.0,188475.0,5690.67,0.33333334,-132.19705,0.031329,15.13074,0.8125,1.0,0,-728.6427,307208.47,0.70790464,13.666667,0.0,2,0.8679975,1,0.1029,0.0,0.0,0,12823.701,0.0,0.0,0.0,0.9767,0.4571111,0.6666667,0.0,10,0.0,0.0,0.0,0.0,0,0.0,0.33333334,0.33333334,0.0,0.014199425,0.0277,0.0625,0.0,0.6666667
0.35729328,0.4726074,0.5021294,0.0755704,-905.0,12222.0,0.0,1,7.6666665,-56.0,217346.58,0.5662409,12.061121,0.12345455,25,0,1.0,37.0,-259.0,0.0,-395.77777,0.0,-4395.0,54551.164,191.0,9522.0,0.0,0.61213136,-153.0,1.1044792,0.0,47.0,6792.0806,3496.635,-241.0,14.40625,0.0,170676.33,0.0,77820.516,6826.23,0.5,-27.333334,0.015221,0.0,0.8918919,0.33333334,1,-728.6427,45562.266,0.051324375,12.166667,0.0,2,0.8679975,1,0.1025479,0.0,0.0,0,0.0,0.0,0.33333334,0.33333334,0.9777348,0.6805355,0.16666667,0.0,9,0.16666667,0.0,0.11111111,0.0,0,0.16666667,0.6666667,0.33333334,0.0,0.0,0.06633385,0.027027028,0.0,0.0
